,team_name,fotmob_id,total_throw_ins,throw_ins_intobox,final_3rd_throw_ins,final_3rd_throw_ins_inbox,upper_quartile_throwing_length,shots_after_throw_ins,goals_after_throw_ins,total_xG,games_played,xG_per_throw_in,throw_ins_per_game,throw_ins_intobox_per_game,ratio_inbox
0,AC Milan,8564.0,655,17.0,151,16.0,22.16,11,3.0,0.541,38,0.0008,17.237,0.447,0.106
1,AFC Wimbledon,158319.0,1295,43.0,358,41.0,22.045,20,1.0,1.201,48,0.0009,26.979,0.896,0.115
2,AVS Futebol SAD,1889.0,704,95.0,178,84.0,24.9675,22,0.0,1.275,34,0.0018,20.706,2.794,0.472
3,AZ Alkmaar,10229.0,568,40.0,142,38.0,22.4525,10,1.0,1.21,34,0.0021,16.706,1.176,0.268
4,Aberdeen,8485.0,722,30.0,178,27.0,22.62,14,0.0,1.181,33,0.0016,21.879,0.909,0.152
5,Accrington,8671.0,1260,117.0,357,92.0,29.13,28,1.0,1.589,48,0.0013,26.25,2.438,0.258
6,Ajax,8593.0,648,5.0,140,5.0,22.512500000000003,9,0.0,0.992,42,0.0015,15.429,0.119,0.036
7,Akron Togliatti,1068364.0,570,102.0,182,95.0,26.59,10,2.0,0.505,30,0.0009,19.0,3.4,0.522
8,Al Ahly SC,101745.0,30,0.0,5,0.0,20.6525,0,0.0,0.0,3,0.0,10.0,0.0,0.0
9,Al Hilal,2529.0,66,13.0,19,12.0,21.81,4,0.0,0.137,5,0.0021,13.2,2.6,0.632
10,Al-Ain,102117.0,44,4.0,12,3.0,19.165,0,0.0,0.0,3,0.0,14.667,1.333,0.25
11,Alanyaspor,4678.0,647,23.0,182,18.0,22.67,15,4.0,1.248,34,0.0019,19.029,0.676,0.099
12,Alverca,9780.0,682,35.0,194,34.0,20.7825,14,0.0,0.949,34,0.0014,20.059,1.029,0.175
13,Anderlecht,8635.0,633,12.0,201,9.0,20.29,9,1.0,0.458,30,0.0007,21.1,0.4,0.045
14,Angers,8121.0,583,18.0,149,16.0,20.625,15,1.0,1.246,34,0.0021,17.147,0.529,0.107
15,Antalyaspor,1931.0,665,15.0,153,13.0,19.24,10,1.0,0.483,34,0.0007,19.559,0.441,0.085
16,Arouca,158085.0,659,44.0,167,41.0,24.15,9,2.0,0.418,34,0.0006,19.382,1.294,0.246
17,Arsenal,9825.0,982,100.0,298,95.0,23.737499999999997,19,0.0,0.721,59,0.0007,16.644,1.695,0.319
